QualifiedName,Name,Complexity,Coupling,Size,Lack of Cohesion,CBO,RFC,SRFC,DIT,NOC,WMC,LOC,CMLOC,NOF,NOSF,NOM,NOSM,NORM,LCOM,LCAM,LTCC,ATFD,SI,Coverage,#(C&I),#C,#I,LOC,AC,EC,Abs,Ins,ND,WMC,Coverage,MCC,NBD,LOC,#Pa,#MC,#AF
<Method>com.example.helloworld.health.TemplateHealthCheck.public TemplateHealthCheck( Template ): void,TemplateHealthCheck( Template ): void,low,low,low,low,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2,1,0,1
<Method>com.example.helloworld.health.TemplateHealthCheck.protected check( ): Result,check( ): Result,low,low,low,low,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,5,0,5,2
<Field>com.example.helloworld.health.TemplateHealthCheck->template,final template : Template,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
<Package>com.example.helloworld.resources,com.example.helloworld.resources,low,low,low-medium,low,,,,,,21,114,,,,,,,,,,,,,6,6,0,114,1,5,0,0.833,0.167,21,,,,,,,
com.example.helloworld.resources.FilteredResource,FilteredResource,low,low,low,low,0,1,0,1,0,1,7,5,0,0,1,0,0,0,0,0,0,0,,,,,7,,,,,,1,,,,,,,
<Method>com.example.helloworld.resources.FilteredResource.public sayHello( ): String,sayHello( ): String,low,low,low,low,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,5,0,0,0
com.example.helloworld.resources.HelloWorldResource,HelloWorldResource,low,low-medium,low,low,6,14,8,1,0,5,28,22,2,1,4,0,0,0.667,0.5,0.667,0,0,,,,,28,,,,,,5,,,,,,,
<Method>com.example.helloworld.resources.HelloWorldResource.public HelloWorldResource( Template ): void,HelloWorldResource( Template ): void,low,low,low,low,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,3,1,0,2
<Method>com.example.helloworld.resources.HelloWorldResource.public receiveDate( Optional ): String,receiveDate( Optional ): String,low,low-medium,low,low,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,11,1,6,2
<Method>com.example.helloworld.resources.HelloWorldResource.public receiveHello( Saying ): void,receiveHello( Saying ): void,low,low,low,low,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,3,1,1,1
